;0;1
0;noNeed;
1;noNeed;
2;simulation_time;39.34
3;agents_distance_walked;{6: 45.284094451211004}
4;average_distance_walked;45.284094451211004
5;agents_speeds;{6: 1.1510954359738435}
6;average_speed;1.1510954359738435
7;average_density;1.0
8;average_time;39.34
9;new_metric;2.5751170019736827
10;cassol_metric;2.0837929186948254
11;normalized_total_simulation_time;39.34
12;normalized_average_simulation_time;39.34
13;normalized_average_speed;1.1510954359738435
14;normalized_average_distance_walked;45.284094451211004
15;minimum_simulation_time;39.34
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;0
20;maximum_cell_density_id;0-1
21;maximum_agent_speed;1.2000000000000917
22;minimum_agent_speed;0.845907914327751
23;maximum_distance_walked;45.284094451211004
24;minimum_distance_walked;45.284094451211004
