;0;1
0;noNeed;
1;noNeed;
2;simulation_time;43.44
3;agents_distance_walked;{5: 44.269771028545975}
4;average_distance_walked;44.269771028545975
5;agents_speeds;{5: 1.0191015430144101}
6;average_speed;1.0191015430144101
7;average_density;1.0
8;average_time;43.44
9;new_metric;2.4391602931351786
10;cassol_metric;1.9730705440561784
11;normalized_total_simulation_time;43.44
12;normalized_average_simulation_time;43.44
13;normalized_average_speed;1.0191015430144101
14;normalized_average_distance_walked;44.269771028545975
15;minimum_simulation_time;43.44
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;0
20;maximum_cell_density_id;0-1
21;maximum_agent_speed;1.2000000000000715
22;minimum_agent_speed;0.0
23;maximum_distance_walked;44.269771028545975
24;minimum_distance_walked;44.269771028545975
