;0;1
0;noNeed;
1;noNeed;
2;simulation_time;48.54
3;agents_distance_walked;{5: 55.88049422997587}
4;average_distance_walked;55.88049422997587
5;agents_speeds;{5: 1.1512256742887488}
6;average_speed;1.1512256742887488
7;average_density;1.0
8;average_time;48.54
9;new_metric;2.593713620151005
10;cassol_metric;2.0944134900716382
11;normalized_total_simulation_time;48.54
12;normalized_average_simulation_time;48.54
13;normalized_average_speed;1.1512256742887488
14;normalized_average_distance_walked;55.88049422997587
15;minimum_simulation_time;48.54
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;0
20;maximum_cell_density_id;1-10
21;maximum_agent_speed;1.2000000000001805
22;minimum_agent_speed;0.7742076093392484
23;maximum_distance_walked;55.88049422997587
24;minimum_distance_walked;55.88049422997587
